,family,name,acquired_from,age,color,weight,socialness,intelligence,activity_level,vocalization
253,144,Eliza,cat_cafe,Junior ,Classic tuxedo black and white,7,10,7,10,7
254,146,Girlie,shelter_or_rescue,Super Senior ,Long hair gray with white blotches,4,9,8,2,6
255,147,Jarvis,friend_or_relative,Adult ,Orange tabby/orange tabby with white,14,8,7,3,4
256,148,Sly,friend_or_relative,Senior ,Classic tuxedo black and white,7,6,9,5,2
257,149,Orange,gift,Senior ,Orange tabby/orange tabby with white,17,7,8,2,4
258,147,Tank,shelter_or_rescue,Mature ,Brown tabby/brown tabby with white,8,10,8,6,7
259,147,Trinity,shelter_or_rescue,Mature ,Brown tabby/brown tabby with white,9,5,4,4,9
260,148,Sally,stray,Senior ,Tortoiseshell,11,10,10,5,10
261,150,Mitchell ,stray,Adult ,Solid gray,14,3,9,9,8
262,147,Kitty Sister,friend_or_relative,Junior ,Gray tabby/gray tabby with white,12,6,9,9,10
263,148,Gracie,stray,Adult ,Calico,8,1,8,7,2
264,150,Mo,stray,Super Senior ,Tortoiseshell,6,10,10,3,9
265,151,LILY,shelter_or_rescue,Mature ,Solid white,14,6,10,5,10
266,152,Cassandra(Sandy),stray,Senior ,Orange tabby/orange tabby with white,8,10,9,1,6
267,152,Ambrose,stray,Adult ,Orange tabby/orange tabby with white,8,10,9,6,10
268,153,Mous ,friend_or_relative,Senior ,Classic tuxedo black and white,17,8,6,4,5
269,154,Summer,gift,Super Senior ,Gray tabby/gray tabby with white,9,5,9,4,7
270,155,Misty,breeder,Super Senior ,Tortoiseshell,,4,7,5,8
271,154,Louie,stray,Mature ,Classic tuxedo black and white,18,2,5,7,8
272,155,Nelly,breeder,Super Senior ,Solid gray,,8,4,3,5
273,152,Shyanne,stray,Mature ,Gray tabby/gray tabby with white,9,1,7,2,3
274,156,Garfield ,shelter_or_rescue,Senior ,Orange tabby/orange tabby with white,7,3,5,3,8
275,157,Basil,stray,Super Senior ,Gray tabby/gray tabby with white,7,4,8,6,3
276,157,Parsley,shelter_or_rescue,Super Senior ,Brown tabby/brown tabby with white,14,6,4,2,7
277,158,Darla,shelter_or_rescue,Adult ,Brown tabby/brown tabby with white,11,2,8,6,8
278,159,Luna,cat_cafe,Adult ,Brown tabby/brown tabby with white,7,6,5,5,3
279,160,Ben,cat_cafe,Adult ,Solid black,14,8,10,8,10
280,161,Milo,shelter_or_rescue,Adult ,Gray tabby/gray tabby with white,10,9,4,5,1
281,160,Savannah,shelter_or_rescue,Mature ,Solid white,12,1,9,2,9
282,162,Tigerlily,shelter_or_rescue,Adult ,Brown tabby/brown tabby with white,13,8,8,8,10
283,160,Nick,stray,Super Senior ,Gray tabby/gray tabby with white,10,10,10,1,10
284,162,Clancy,shelter_or_rescue,Adult ,Solid black,14,9,7,5,3
285,163,Odofin Tutuola ,breeder,Junior ,Black smoke ,6,5,5,3,2
286,164,Cleo,stray,Mature ,Gray tabby/gray tabby with white,5,8,8,6,5
287,165,Beans,cat_cafe,Junior ,Orange tabby/orange tabby with white,12,9,10,8,7
288,165,Blanche,cat_cafe,Adult ,Orange tabby/orange tabby with white,15,9,9,7,8
289,166,Ludo,shelter_or_rescue,Mature ,Brown tabby/brown tabby with white,12,5,10,3,3
290,165,Arthur,shelter_or_rescue,Junior ,Gray tabby/gray tabby with white,10,10,10,10,2
291,165,Chuck,shelter_or_rescue,Super Senior ,Gray tabby/gray tabby with white,15,3,8,1,1
292,167,Hel,gift,Mature ,Solid black,10,6,3,8,9
293,168,Penny,stray,Senior ,"Tri color. Brown, orange, white",12,7,9,1,6
294,169,Lugosi,cat_cafe,Adult ,Solid black,18,3,4,6,5
295,169,Boris,stray,Adult ,Solid gray,15,8,6,7,10
296,170,Elphie,shelter_or_rescue,Mature ,Golden/sand color- comparable to British longhair cats ,6,10,4,5,1
297,171,Mindy,shelter_or_rescue,Mature ,Orange tabby/orange tabby with white,8,2,5,4,7
298,172,Everest,shelter_or_rescue,Junior ,Solid white,14,8,7,4,5
299,172,Phantom,stray,Junior ,Gray tuxedo gray and white,8,5,4,7,2
300,173,Millie,friend_or_relative,Mature ,Gray tuxedo gray and white,8,6,5,3,3
301,174,Porsche,shelter_or_rescue,Mature ,Brown tabby/brown tabby with white,13,8,8,6,5
302,174,Jynx,shelter_or_rescue,Mature ,Solid black,13,8,9,5,10
303,175,Zach,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,15,9,10,8,9
304,175,Zoey,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,14,5,8,6,9
305,176,Bandit,shelter_or_rescue,Senior ,Classic tuxedo black and white,9,2,9,7,8
306,177,Jasmine,breeder,Super Senior ,Seal point,4,8,8,3,10
307,178,Alexander Nathaniel Hamilkitty,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,12,9,5,6,3
308,178,Hudson Graham Hamilkitty,shelter_or_rescue,Adult ,Orange tabby/orange tabby with white,10,3,7,6,2
309,179,Deino,friend_or_relative,Mature ,Brown tabby/brown tabby with white,13,1,7,3,8
310,180,sophie,pet_store,Super Senior ,Brown tabby/brown tabby with white,10,10,6,3,10
311,179,Eris,friend_or_relative,Adult ,Solid black,14,6,3,6,4
312,179,Meatloaf ,shelter_or_rescue,Mature ,Brown tabby/brown tabby with white,14,3,4,2,4
313,179,Pancake ,stray,Adult ,Orange tabby/orange tabby with white,15,9,2,8,9
